SSEE,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Alonso de Cordova,1658,1800,1848,1923,2025,2057,2066,2112,2145,2193,2238,2257,2262,2261,2239,2232,2240,2311,2313,2301,2284
Altamirano,1105,1114,1114,1114,1120,1129,1135,1146,1151,1160,1169,1170,1172,1175,1172,1166,1160,1162,1151,1134,1113
Andes,601,538,545,556,551,548,550,556,559,564,569,570,575,574,568,564,561,560,553,544,533
Apoquindo,1729,1915,1921,1934,1954,1954,1948,1960,1963,1975,1983,1976,1971,1950,1912,1885,1865,1871,1844,1807,1764
Bicentenario,256,344,338,338,342,339,334,335,334,336,337,335,342,351,352,350,349,356,354,350,345
Brasil,1121,1225,1239,1256,1278,1285,1287,1304,1314,1331,1347,1352,1363,1367,1356,1349,1347,1363,1355,1340,1320
Carrascal,521,499,506,504,504,503,502,504,504,506,508,506,508,509,506,501,496,495,487,477,466
Chacabuco,1832,2040,2033,2146,2251,2347,2451,2597,2752,2939,3141,3343,3604,3889,4150,4417,4709,5056,5370,5679,5982
La Cisterna,1069,1067,1073,1078,1078,1085,1093,1105,1112,1123,1132,1135,1140,1142,1137,1132,1125,1122,1108,1088,1064
Club Hípico,1141,1175,1201,1212,1225,1237,1248,1266,1278,1293,1307,1313,1316,1314,1306,1300,1294,1297,1284,1264,1238
La Dehesa,607,682,684,689,701,707,709,717,721,728,734,735,734,729,720,714,709,713,705,693,679
La Reina,1525,1517,1517,1511,1517,1521,1520,1529,1532,1538,1543,1539,1538,1529,1510,1492,1476,1471,1447,1416,1380
Las Acacias,710,731,752,776,801,827,852,880,907,934,961,984,1013,1043,1069,1094,1121,1154,1183,1211,1240
Lo Aguirre,1765,2054,2082,2135,2194,2186,2174,2202,2224,2265,2305,2323,2382,2454,2473,2483,2504,2586,2603,2606,2605
Lo Prado,950,998,1000,1001,1018,1027,1029,1040,1048,1062,1074,1079,1093,1107,1106,1104,1104,1118,1113,1104,1090
Lo Valledor,735,701,695,700,709,715,718,727,731,738,744,745,742,738,730,724,718,720,711,698,682
Lord Cochrane,947,1007,1027,1053,1086,1094,1098,1115,1129,1146,1161,1169,1170,1169,1161,1155,1152,1175,1168,1156,1143
Los Dominicos,1164,1275,1283,1300,1331,1333,1325,1336,1340,1352,1362,1358,1356,1343,1314,1295,1285,1302,1288,1267,1242
Macul,1005,921,914,921,945,935,922,924,923,930,935,931,946,960,952,943,941,966,964,958,951
Maipú,458,485,497,509,521,536,551,567,581,596,611,623,637,650,664,677,692,707,723,738,754
Mariscal,536,667,710,729,751,762,773,791,806,824,841,853,863,872,875,879,884,899,900,895,887
Ochagavía,1240,1358,1354,1368,1395,1412,1417,1436,1448,1466,1482,1487,1491,1495,1487,1479,1474,1491,1479,1459,1434
Pajaritos,1583,1532,1543,1574,1621,1626,1625,1649,1671,1706,1738,1757,1814,1881,1909,1927,1952,2017,2042,2060,2076
Panamericana,571,511,513,524,532,533,535,543,548,555,562,565,570,576,575,573,573,581,578,571,563
Quilicura,1038,1195,1197,1225,1274,1290,1306,1345,1386,1444,1507,1567,1653,1748,1833,1932,2054,2222,2373,2534,2706
Recoleta,1204,1139,1122,1114,1117,1116,1109,1112,1110,1112,1113,1107,1106,1102,1088,1073,1059,1057,1039,1016,989
San Bernardo,1630,1672,1689,1726,1784,1785,1784,1811,1834,1872,1906,1924,1977,2029,2045,2060,2089,2161,2195,2228,2261
San Cristobal,1580,1675,1676,1687,1709,1702,1694,1703,1704,1713,1719,1712,1705,1687,1654,1629,1610,1617,1593,1560,1523
San Joaquín,1670,1476,1508,1529,1556,1568,1577,1601,1618,1642,1665,1676,1697,1720,1724,1724,1725,1749,1742,1726,1704
San José,1154,1134,1158,1160,1171,1175,1186,1202,1212,1225,1237,1243,1250,1252,1248,1243,1238,1235,1221,1201,1175
San Pablo,903,963,964,964,978,950,917,905,894,893,890,876,893,907,887,868,857,878,869,855,842
Santa Elena,1387,1375,1382,1380,1387,1393,1396,1408,1414,1424,1432,1432,1436,1434,1422,1410,1399,1397,1377,1351,1320
Santa Marta,1352,1524,1507,1510,1517,1502,1484,1484,1482,1491,1497,1492,1515,1542,1539,1529,1523,1544,1536,1523,1508
Santa Raquel,866,848,843,840,839,842,846,853,856,860,863,863,861,857,851,843,836,829,817,800,781
Santa Rosa Sur,1014,1065,1104,1149,1197,1238,1276,1321,1361,1405,1446,1481,1515,1546,1577,1610,1649,1699,1739,1778,1818
Vitacura,1753,1936,1945,1978,2027,2042,2040,2063,2076,2099,2119,2120,2114,2096,2060,2037,2024,2053,2033,2002,1966
