Minuto,0,1,mean [kWh],std [kWh]
0,"3654,0","3597,0","3625,5","28,5"
1,"3423,0","3483,0","3453,0","30,0"
2,"3285,0","2748,0","3016,5","268,5"
3,"2418,0","2622,0","2520,0","102,0"
4,"2157,0","2364,0","2260,5","103,5"
5,"2031,0","2358,0","2194,5","163,5"
6,"2034,0","1878,0","1956,0","78,0"
7,"1788,0","1623,0","1705,5","82,5"
8,"1770,0","1494,0","1632,0","138,0"
9,"1770,0","1491,0","1630,5","139,5"
10,"1644,0","1506,0","1575,0","69,0"
11,"1515,0","1497,0","1506,0","9,0"
12,"1623,0","1491,0","1557,0","66,0"
13,"1626,0","1497,0","1561,5","64,5"
14,"1605,0","1494,0","1549,5","55,5"
15,"1608,0","1482,0","1545,0","63,0"
16,"1587,0","1464,0","1525,5","61,5"
17,"1581,0","1584,0","1582,5","1,5"
18,"1578,0","1572,0","1575,0","3,0"
19,"1566,0","1446,0","1506,0","60,0"
20,"1560,0","1449,0","1504,5","55,5"
21,"1548,0","1437,0","1492,5","55,5"
22,"1533,0","1422,0","1477,5","55,5"
23,"1413,0","1287,0","1350,0","63,0"
24,"1392,0","1260,0","1326,0","66,0"
25,"1389,0","1257,0","1323,0","66,0"
26,"1512,0","1248,0","1380,0","132,0"
27,"1509,0","1239,0","1374,0","135,0"
28,"1503,0","1239,0","1371,0","132,0"
29,"1515,0","1224,0","1369,5","145,5"
30,"1383,0","1218,0","1300,5","82,5"
31,"1374,0","1206,0","1290,0","84,0"
32,"1362,0","1197,0","1279,5","82,5"
33,"1359,0","1302,0","1330,5","28,5"
34,"1353,0","1284,0","1318,5","34,5"
35,"1335,0","1260,0","1297,5","37,5"
36,"1311,0","1251,0","1281,0","30,0"
37,"1296,0","1365,0","1330,5","34,5"
38,"1281,0","1374,0","1327,5","46,5"
39,"1395,0","1377,0","1386,0","9,0"
40,"1395,0","1377,0","1386,0","9,0"
41,"1371,0","1248,0","1309,5","61,5"
42,"1353,0","1125,0","1239,0","114,0"
43,"1353,0","1119,0","1236,0","117,0"
44,"1359,0","1122,0","1240,5","118,5"
45,"1353,0","1110,0","1231,5","121,5"
46,"1341,0","1110,0","1225,5","115,5"
47,"1332,0","1098,0","1215,0","117,0"
48,"1206,0","1092,0","1149,0","57,0"
49,"1185,0","1077,0","1131,0","54,0"
50,"1185,0","1080,0","1132,5","52,5"
51,"1170,0","1074,0","1122,0","48,0"
52,"1155,0","1188,0","1171,5","16,5"
