,t_fcs_ida,E_fcs_ida,delta_rec_ida,carga_ida,t_fcs_vuelta,E_fcs_vuelta,delta_rec_vuelta,carga_vuelta,t_llegada_casa,E_casa,delta_home,Pot_dom
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1047.0,0,0,0
1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1189.0,0,0,0
2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1003.0,0,0,0
3,0.0,0.0,0.0,0,1315.0,19.803861618243193,10.0,120,1349.0,0,0,0
4,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1087.0,0,0,0
5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1241.0,0,0,0
6,0.0,0.0,0.0,0,789.0,18.317018579324923,9.0,120,828.0,0,0,0
7,0.0,0.0,0.0,0,0.0,0.0,0.0,0,906.0,0,0,0
8,0.0,0.0,0.0,0,947.0,16.93431955346664,8.0,120,980.0,0,0,0
9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,870.0,0,0,0
10,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1269.0,0,0,0
11,0.0,0.0,0.0,0,641.0,17.461957755879965,9.0,120,654.0,0,0,0
12,0.0,0.0,0.0,0,1190.0,23.373538962707826,12.0,120,1219.0,0,0,0
13,0.0,0.0,0.0,0,1030.0,20.631941281115804,10.0,120,1050.0,0,0,0
14,888.0,22.13978967807163,0.0,120,0.0,0.0,0.0,0,1131.0,0,0,0
15,0.0,0.0,0.0,0,1210.0,20.17472047806808,0.0,120,1233.0,0,0,0
16,0.0,0.0,0.0,0,0.0,0.0,0.0,0,947.0,0,0,0
17,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1297.0,0,0,0
18,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1270.0,0,0,0
19,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1026.0,0,0,0
20,0.0,0.0,0.0,0,0.0,0.0,0.0,0,989.0,0,0,0
21,0.0,0.0,0.0,0,0.0,0.0,0.0,0,774.0,0,0,0
22,0.0,0.0,0.0,0,888.0,18.366351310853133,9.0,120,926.0,0,0,0
23,0.0,0.0,0.0,0,887.0,19.126295016667044,10.0,120,914.0,0,0,0
24,0.0,0.0,0.0,0,0.0,0.0,0.0,0,623.0,0,0,0
25,0.0,0.0,0.0,0,0.0,0.0,0.0,0,957.0,0,0,0
26,0.0,0.0,0.0,0,1089.0,17.713460535972946,9.0,120,1117.0,0,0,0
27,0.0,0.0,0.0,0,979.0,18.10930767437633,0.0,120,1021.0,0,0,0
28,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1090.0,0,0,0
29,0.0,0.0,0.0,0,1120.0,15.954223517350608,8.0,120,1148.0,0,0,0
30,431.0,19.501910357821444,0.0,120,0.0,0.0,0.0,0,754.0,0,0,0
31,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1206.0,0,0,0
32,0.0,0.0,0.0,0,1190.0,21.146219493117297,11.0,120,1209.0,0,0,0
33,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1035.0,0,0,0
34,0.0,0.0,0.0,0,812.0,19.477025434032893,0.0,120,842.0,0,0,0
35,0.0,0.0,0.0,0,1108.0,18.55421670124924,9.0,120,1134.0,0,0,0
36,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1401.0,0,0,0
37,0.0,0.0,0.0,0,0.0,0.0,0.0,0,817.0,0,0,0
38,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1175.0,0,0,0
39,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1185.0,0,0,0
40,0.0,0.0,0.0,0,0.0,0.0,0.0,0,826.0,0,0,0
41,0.0,0.0,0.0,0,1456.0,21.955532610039477,11.0,120,1485.0,0,0,0
