,t_fcs_ida,E_fcs_ida,delta_rec_ida,carga_ida,t_fcs_vuelta,E_fcs_vuelta,delta_rec_vuelta,carga_vuelta,t_llegada_casa,E_casa,delta_home,Pot_dom
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,538.0,0,0,0
1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1138.0,0,0,0
2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,887.0,0,0,0
3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1364.0,0,0,0
4,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1370.0,0,0,0
5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1033.0,0,0,0
6,0.0,0.0,0.0,0,991.0,19.7818700403444,10.0,120,1024.0,0,0,0
7,0.0,0.0,0.0,0,1092.0,18.82964035152484,9.0,120,1121.0,0,0,0
8,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1435.0,0,0,0
9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1094.0,0,0,0
10,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1017.0,0,0,0
11,0.0,0.0,0.0,0,0.0,0.0,0.0,0,525.0,0,0,0
12,0.0,0.0,0.0,0,702.0,19.08833054696041,0.15906942122467008,120,756.0,0,0,0
13,0.0,0.0,0.0,0,1092.0,20.81425234705188,10.0,120,1125.0,0,0,0
14,0.0,0.0,0.0,0,927.0,16.586870329059717,0.13822391940883097,120,964.0,0,0,0
15,0.0,0.0,0.0,0,0.0,0.0,0.0,0,846.0,0,0,0
16,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1263.0,0,0,0
17,0.0,0.0,0.0,0,968.0,17.636156346780513,9.0,120,1004.0,0,0,0
18,0.0,0.0,0.0,0,1010.0,16.34137873226216,0.13617815610218467,120,1039.0,0,0,0
19,0.0,0.0,0.0,0,0.0,0.0,0.0,0,711.0,0,0,0
20,0.0,0.0,0.0,0,0.0,0.0,0.0,0,988.0,0,0,0
21,0.0,0.0,0.0,0,0.0,0.0,0.0,0,817.0,0,0,0
22,0.0,0.0,0.0,0,0.0,0.0,0.0,0,925.0,0,0,0
23,0.0,0.0,0.0,0,0.0,0.0,0.0,0,871.0,0,0,0
24,0.0,0.0,0.0,0,0.0,0.0,0.0,0,929.0,0,0,0
25,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1242.0,0,0,0
26,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1157.0,0,0,0
27,0.0,0.0,0.0,0,1031.0,19.039871814415957,10.0,120,1074.0,0,0,0
